"ID","Curve Batch Name","x","y","Sample Name"
"Saturation Regime 012","Saturation Regime",180,163790.946459533,"180"
"Saturation Regime 013","Saturation Regime",0,12206.2486194824,"0"
"Saturation Regime 013","Saturation Regime",30,403477.014205272,"30"
"Saturation Regime 013","Saturation Regime",60,615188.690501217,"60"
"Saturation Regime 013","Saturation Regime",90,773283.254627785,"90"
"Saturation Regime 013","Saturation Regime",120,877859.039318906,"120"
"Saturation Regime 013","Saturation Regime",150,920562.472122936,"150"
"Saturation Regime 013","Saturation Regime",180,950031.486129061,"180"
"Saturation Regime 014","Saturation Regime",0,4846.54,"0"
"Saturation Regime 014","Saturation Regime",30,186974.312762769,"30"
"Saturation Regime 014","Saturation Regime",60,289296.049556753,"60"
"Saturation Regime 014","Saturation Regime",90,380825.295542579,"90"
"Saturation Regime 014","Saturation Regime",120,433014.669455968,"120"
"Saturation Regime 014","Saturation Regime",150,447110.451882324,"150"
"Saturation Regime 014","Saturation Regime",180,465887.033111016,"180"
"Saturation Regime 015","Saturation Regime",0,8298.38,"0"
"Saturation Regime 015","Saturation Regime",30,359540.617995266,"30"
"Saturation Regime 015","Saturation Regime",60,550837.058980841,"60"
"Saturation Regime 015","Saturation Regime",90,661914.689938551,"90"
"Saturation Regime 015","Saturation Regime",120,720736.069663014,"120"
"Saturation Regime 015","Saturation Regime",150,763281.291425009,"150"
"Saturation Regime 015","Saturation Regime",180,789451.000284415,"180"
"Saturation Regime 016","Saturation Regime",0,4197.19,"0"
"Saturation Regime 016","Saturation Regime",30,166420.035914406,"30"
"Saturation Regime 016","Saturation Regime",60,270661.256755008,"60"
"Saturation Regime 016","Saturation Regime",90,352616.881981779,"90"
"Saturation Regime 016","Saturation Regime",120,364461.544097312,"120"
"Saturation Regime 016","Saturation Regime",150,390603.763831691,"150"
"Saturation Regime 016","Saturation Regime",180,402110.825056637,"180"
"Saturation Regime 017","Saturation Regime",0,1418.34,"0"
"Saturation Regime 017","Saturation Regime",30,66228.1285908631,"30"
"Saturation Regime 017","Saturation Regime",60,94872.0544077217,"60"
"Saturation Regime 017","Saturation Regime",90,112909.538672015,"90"
"Saturation Regime 017","Saturation Regime",120,123681.139137167,"120"
"Saturation Regime 017","Saturation Regime",150,128753.583943064,"150"
"Saturation Regime 017","Saturation Regime",180,136794.224288476,"180"
"Saturation Regime 018","Saturation Regime",0,9216.01788047117,"0"
"Saturation Regime 018","Saturation Regime",30,401770.338957617,"30"
"Saturation Regime 018","Saturation Regime",60,501970.786734187,"60"
"Saturation Regime 018","Saturation Regime",90,674428.923059921,"90"
"Saturation Regime 018","Saturation Regime",120,726212.101734207,"120"
"Saturation Regime 018","Saturation Regime",150,757770.783710006,"150"
"Saturation Regime 018","Saturation Regime",180,787465.324382226,"180"
"Saturation Regime 019","Saturation Regime",0,315.17,"0"
"Saturation Regime 019","Saturation Regime",30,11382.4270692541,"30"
"Saturation Regime 019","Saturation Regime",60,21334.6219437777,"60"
"Saturation Regime 019","Saturation Regime",90,26675.6419521452,"90"
"Saturation Regime 019","Saturation Regime",120,27047.8139859455,"120"
"Saturation Regime 019","Saturation Regime",150,29504.5626931985,"150"
"Saturation Regime 019","Saturation Regime",180,30327.5239211755,"180"
"Saturation Regime 020","Saturation Regime",0,193.92,"0"
"Saturation Regime 020","Saturation Regime",30,7950.94542643239,"30"
"Saturation Regime 020","Saturation Regime",60,12489.1772028541,"60"
"Saturation Regime 020","Saturation Regime",90,15684.6454409543,"90"
"Saturation Regime 020","Saturation Regime",120,16925.595304678,"120"
"Saturation Regime 020","Saturation Regime",150,18190.419648883,"150"
"Saturation Regime 020","Saturation Regime",180,18524.9812161113,"180"
"Saturation Regime 021","Saturation Regime",0,5007.91,"0"
"Saturation Regime 021","Saturation Regime",30,184536.579710287,"30"
"Saturation Regime 021","Saturation Regime",60,382421.86118956,"60"
"Saturation Regime 021","Saturation Regime",90,393056.867159451,"90"
"Saturation Regime 021","Saturation Regime",120,442464.327330969,"120"
"Saturation Regime 021","Saturation Regime",150,468058.267929104,"150"
"Saturation Regime 021","Saturation Regime",180,478067.307399173,"180"
"Saturation Regime 022","Saturation Regime",0,7716.67334111938,"0"
"Saturation Regime 022","Saturation Regime",30,297403.020571963,"30"
"Saturation Regime 022","Saturation Regime",60,479756.162648397,"60"
"Saturation Regime 022","Saturation Regime",90,581043.561830406,"90"
"Saturation Regime 022","Saturation Regime",120,667773.530731291,"120"
"Saturation Regime 022","Saturation Regime",150,673698.499262955,"150"
"Saturation Regime 022","Saturation Regime",180,695657.517719141,"180"
"Saturation Regime 023","Saturation Regime",0,5130.28358098399,"0"
"Saturation Regime 023","Saturation Regime",30,211001.461408683,"30"
"Saturation Regime 023","Saturation Regime",60,312882.726579334,"60"
"Saturation Regime 023","Saturation Regime",90,377165.881695284,"90"
"Saturation Regime 023","Saturation Regime",120,440861.080707528,"120"
"Saturation Regime 023","Saturation Regime",150,453532.362645778,"150"
"Saturation Regime 023","Saturation Regime",180,467023.170362954,"180"
"Saturation Regime 024","Saturation Regime",0,3875.8,"0"
"Saturation Regime 024","Saturation Regime",30,176256.123632844,"30"
"Saturation Regime 024","Saturation Regime",60,254422.455207395,"60"
"Saturation Regime 024","Saturation Regime",90,315292.529754402,"90"
"Saturation Regime 024","Saturation Regime",120,337499.278143534,"120"
"Saturation Regime 024","Saturation Regime",150,360613.141830234,"150"
"Saturation Regime 024","Saturation Regime",180,370369.098323293,"180"
"Saturation Regime 025","Saturation Regime",0,9264.87,"0"
"Saturation Regime 025","Saturation Regime",30,339693.391949601,"30"
"Saturation Regime 025","Saturation Regime",60,668360.061266063,"60"
"Saturation Regime 025","Saturation Regime",90,750215.719869024,"90"
"Saturation Regime 025","Saturation Regime",120,795638.367905767,"120"
"Saturation Regime 025","Saturation Regime",150,854385.613396582,"150"
"Saturation Regime 025","Saturation Regime",180,880485.229289072,"180"
"Saturation Regime 026","Saturation Regime",0,8865.88145661066,"0"
"Saturation Regime 026","Saturation Regime",30,300285.972921097,"30"
"Saturation Regime 026","Saturation Regime",60,498617.956300745,"60"
"Saturation Regime 026","Saturation Regime",90,582405.817538546,"90"
"Saturation Regime 026","Saturation Regime",120,646379.996321283,"120"
"Saturation Regime 026","Saturation Regime",150,682923.555750721,"150"
"Saturation Regime 026","Saturation Regime",180,707811.995712628,"180"
"Saturation Regime 027","Saturation Regime",0,9172.83,"0"
"Saturation Regime 027","Saturation Regime",30,384066.569026676,"30"
"Saturation Regime 027","Saturation Regime",60,607091.790320581,"60"
"Saturation Regime 027","Saturation Regime",90,756926.577805923,"90"
"Saturation Regime 027","Saturation Regime",120,798511.436907632,"120"
"Saturation Regime 027","Saturation Regime",150,842404.699367823,"150"
"Saturation Regime 027","Saturation Regime",180,887732.236517995,"180"
"Saturation Regime 028","Saturation Regime",0,6339.52,"0"
"Saturation Regime 028","Saturation Regime",30,234156.202593894,"30"
"Saturation Regime 028","Saturation Regime",60,386665.075939218,"60"
"Saturation Regime 028","Saturation Regime",90,495136.806620422,"90"
"Saturation Regime 028","Saturation Regime",120,563355.626539581,"120"
"Saturation Regime 028","Saturation Regime",150,595511.842370926,"150"
"Saturation Regime 028","Saturation Regime",180,609788.739952425,"180"
"Saturation Regime 029","Saturation Regime",0,9435.48347647434,"0"
"Saturation Regime 029","Saturation Regime",30,363543.337562294,"30"
"Saturation Regime 029","Saturation Regime",60,588461.026953103,"60"
"Saturation Regime 029","Saturation Regime",90,763801.930480948,"90"
"Saturation Regime 029","Saturation Regime",120,806686.172126203,"120"
"Saturation Regime 029","Saturation Regime",150,886436.621152539,"150"
"Saturation Regime 029","Saturation Regime",180,895055.001858846,"180"
"Saturation Regime 030","Saturation Regime",0,3810.22,"0"
"Saturation Regime 030","Saturation Regime",30,149913.873579227,"30"
"Saturation Regime 030","Saturation Regime",60,231978.000002626,"60"
"Saturation Regime 030","Saturation Regime",90,301232.023065068,"90"
"Saturation Regime 030","Saturation Regime",120,337379.983035207,"120"
"Saturation Regime 030","Saturation Regime",150,354929.44545389,"150"
"Saturation Regime 030","Saturation Regime",180,363041.513139305,"180"
"Saturation Regime 031","Saturation Regime",0,7241.43,"0"
"Saturation Regime 031","Saturation Regime",30,339489.884410194,"30"
"Saturation Regime 031","Saturation Regime",60,445300.541711262,"60"
"Saturation Regime 031","Saturation Regime",90,572568.471591742,"90"
"Saturation Regime 031","Saturation Regime",120,658366.094706595,"120"
"Saturation Regime 031","Saturation Regime",150,671477.953219796,"150"
"Saturation Regime 031","Saturation Regime",180,687418.525268107,"180"
"Saturation Regime 032","Saturation Regime",0,2228.4908347868,"0"
"Saturation Regime 032","Saturation Regime",30,83288.5669511266,"30"
"Saturation Regime 032","Saturation Regime",60,131885.072585351,"60"
"Saturation Regime 032","Saturation Regime",90,163517.212232203,"90"
"Saturation Regime 032","Saturation Regime",120,182964.231948922,"120"
"Saturation Regime 032","Saturation Regime",150,196274.368939638,"150"
"Saturation Regime 032","Saturation Regime",180,198932.68268276,"180"
"Saturation Regime 033","Saturation Regime",0,7659.6,"0"
"Saturation Regime 033","Saturation Regime",30,274644.351723774,"30"
"Saturation Regime 033","Saturation Regime",60,487044.852880625,"60"
"Saturation Regime 033","Saturation Regime",90,599813.752474635,"90"
"Saturation Regime 033","Saturation Regime",120,673676.082699713,"120"
"Saturation Regime 033","Saturation Regime",150,720971.451236711,"150"
"Saturation Regime 033","Saturation Regime",180,744166.025135333,"180"
"Saturation Regime 034","Saturation Regime",0,7113.52,"0"
"Saturation Regime 034","Saturation Regime",30,249273.625937042,"30"
"Saturation Regime 034","Saturation Regime",60,455518.915146254,"60"
"Saturation Regime 034","Saturation Regime",90,567118.799395039,"90"
"Saturation Regime 034","Saturation Regime",120,634717.225560786,"120"
"Saturation Regime 034","Saturation Regime",150,667172.104301969,"150"
"Saturation Regime 034","Saturation Regime",180,684137.701777175,"180"
"Saturation Regime 035","Saturation Regime",0,11219.1393597376,"0"
"Saturation Regime 035","Saturation Regime",30,396599.827334062,"30"
"Saturation Regime 035","Saturation Regime",60,657003.875076653,"60"
"Saturation Regime 035","Saturation Regime",90,793869.526507227,"90"
"Saturation Regime 035","Saturation Regime",120,882258.927081929,"120"
"Saturation Regime 035","Saturation Regime",150,925016.604367582,"150"
"Saturation Regime 035","Saturation Regime",180,943828.690015541,"180"
"Saturation Regime 036","Saturation Regime",0,3804.22343380057,"0"
"Saturation Regime 036","Saturation Regime",30,145606.248232776,"30"
"Saturation Regime 036","Saturation Regime",60,236592.850313063,"60"
"Saturation Regime 036","Saturation Regime",90,287239.065699419,"90"
"Saturation Regime 036","Saturation Regime",120,317447.84256981,"120"
"Saturation Regime 036","Saturation Regime",150,339888.337727394,"150"
"Saturation Regime 036","Saturation Regime",180,344051.452407493,"180"
"Saturation Regime 037","Saturation Regime",0,11444.3259215316,"0"
"Saturation Regime 037","Saturation Regime",30,441515.749266151,"30"
"Saturation Regime 037","Saturation Regime",60,675302.124320453,"60"
"Saturation Regime 037","Saturation Regime",90,761599.432449964,"90"
"Saturation Regime 037","Saturation Regime",120,888202.536258839,"120"
"Saturation Regime 037","Saturation Regime",150,905933.315821546,"150"
"Saturation Regime 037","Saturation Regime",180,944944.628592971,"180"
"Saturation Regime 038","Saturation Regime",0,4007.94019685221,"0"
"Saturation Regime 038","Saturation Regime",30,183735.164297109,"30"
"Saturation Regime 038","Saturation Regime",60,251423.782210526,"60"
"Saturation Regime 038","Saturation Regime",90,310315.342677514,"90"
"Saturation Regime 038","Saturation Regime",120,345117.12068054,"120"
"Saturation Regime 038","Saturation Regime",150,366694.176230652,"150"
"Saturation Regime 038","Saturation Regime",180,381532.741238725,"180"
"Saturation Regime 039","Saturation Regime",0,3178.81,"0"
"Saturation Regime 039","Saturation Regime",30,134169.85865834,"30"
"Saturation Regime 039","Saturation Regime",60,221105.838296432,"60"
"Saturation Regime 039","Saturation Regime",90,268565.127649128,"90"
"Saturation Regime 039","Saturation Regime",120,285952.580800954,"120"
"Saturation Regime 039","Saturation Regime",150,297485.228745561,"150"
"Saturation Regime 039","Saturation Regime",180,301049.119324192,"180"
"Saturation Regime 040","Saturation Regime",0,9427.48,"0"
"Saturation Regime 040","Saturation Regime",30,414778.815156484,"30"
"Saturation Regime 040","Saturation Regime",60,612759.550192637,"60"
"Saturation Regime 040","Saturation Regime",90,720540.350344298,"90"
"Saturation Regime 040","Saturation Regime",120,853831.102660071,"120"
"Saturation Regime 040","Saturation Regime",150,883715.376715483,"150"
"Saturation Regime 040","Saturation Regime",180,904113.741929787,"180"
"Saturation Regime 041","Saturation Regime",0,9404.78,"0"
"Saturation Regime 041","Saturation Regime",30,412318.204176062,"30"
"Saturation Regime 041","Saturation Regime",60,597956.879772026,"60"
"Saturation Regime 041","Saturation Regime",90,763453.516737398,"90"
"Saturation Regime 041","Saturation Regime",120,825545.097441451,"120"
"Saturation Regime 041","Saturation Regime",150,878972.524224883,"150"
"Saturation Regime 041","Saturation Regime",180,908230.305714829,"180"
"Saturation Regime 042","Saturation Regime",0,1197.4280216807,"0"
"Saturation Regime 042","Saturation Regime",30,38603.3948131349,"30"
"Saturation Regime 042","Saturation Regime",60,65436.5963623264,"60"
"Saturation Regime 042","Saturation Regime",90,86567.8875800401,"90"
"Saturation Regime 042","Saturation Regime",120,92040.0123930079,"120"
"Saturation Regime 042","Saturation Regime",150,94431.6154857727,"150"
"Saturation Regime 042","Saturation Regime",180,98745.8252349413,"180"
"Saturation Regime 043","Saturation Regime",0,103.62513593854,"0"
"Saturation Regime 043","Saturation Regime",30,3770.59882839128,"30"
"Saturation Regime 043","Saturation Regime",60,6195.64477157593,"60"
"Saturation Regime 043","Saturation Regime",90,7515.46145771131,"90"
"Saturation Regime 043","Saturation Regime",120,8314.02047206989,"120"
"Saturation Regime 043","Saturation Regime",150,8528.61213859672,"150"
"Saturation Regime 043","Saturation Regime",180,8789.52295893299,"180"
"Saturation Regime 044","Saturation Regime",0,3557.92,"0"
"Saturation Regime 044","Saturation Regime",30,134811.677322072,"30"
"Saturation Regime 044","Saturation Regime",60,230357.708879335,"60"
"Saturation Regime 044","Saturation Regime",90,291701.965417613,"90"
"Saturation Regime 044","Saturation Regime",120,301327.304653965,"120"
"Saturation Regime 044","Saturation Regime",150,328756.792378839,"150"
"Saturation Regime 044","Saturation Regime",180,340949.568801337,"180"
"Saturation Regime 045","Saturation Regime",0,9462.28843929311,"0"
"Saturation Regime 045","Saturation Regime",30,387057.702715714,"30"
"Saturation Regime 045","Saturation Regime",60,588191.04147393,"60"
"Saturation Regime 045","Saturation Regime",90,662434.529333549,"90"
"Saturation Regime 045","Saturation Regime",120,829277.176164485,"120"
"Saturation Regime 045","Saturation Regime",150,835022.048690813,"150"
"Saturation Regime 045","Saturation Regime",180,866855.208921115,"180"
"Saturation Regime 046","Saturation Regime",0,10683.1754639089,"0"
"Saturation Regime 046","Saturation Regime",30,411802.255210437,"30"
"Saturation Regime 046","Saturation Regime",60,599392.407987692,"60"
"Saturation Regime 046","Saturation Regime",90,745771.64539755,"90"
"Saturation Regime 046","Saturation Regime",120,800806.005885917,"120"
"Saturation Regime 046","Saturation Regime",150,868661.911201279,"150"
"Saturation Regime 046","Saturation Regime",180,885282.025426581,"180"
"Saturation Regime 047","Saturation Regime",0,6480.45,"0"
"Saturation Regime 047","Saturation Regime",30,257578.842781175,"30"
"Saturation Regime 047","Saturation Regime",60,441702.872389996,"60"
"Saturation Regime 047","Saturation Regime",90,523314.832868195,"90"
"Saturation Regime 047","Saturation Regime",120,563374.572555414,"120"
"Saturation Regime 047","Saturation Regime",150,595117.084044012,"150"
"Saturation Regime 047","Saturation Regime",180,621120.709262895,"180"
"Saturation Regime 048","Saturation Regime",0,5116.73,"0"
"Saturation Regime 048","Saturation Regime",30,212660.169644662,"30"
"Saturation Regime 048","Saturation Regime",60,337715.130301152,"60"
"Saturation Regime 048","Saturation Regime",90,408996.045713523,"90"
"Saturation Regime 048","Saturation Regime",120,441013.675842638,"120"
"Saturation Regime 048","Saturation Regime",150,477409.21178504,"150"
"Saturation Regime 048","Saturation Regime",180,494262.683825684,"180"
"Saturation Regime 049","Saturation Regime",0,7808.8,"0"
"Saturation Regime 049","Saturation Regime",30,311182.435913079,"30"
"Saturation Regime 049","Saturation Regime",60,519531.415911462,"60"
"Saturation Regime 049","Saturation Regime",90,608497.66620482,"90"
"Saturation Regime 049","Saturation Regime",120,659285.023859856,"120"
"Saturation Regime 049","Saturation Regime",150,731771.518988346,"150"
"Saturation Regime 049","Saturation Regime",180,743802.01231708,"180"
"Saturation Regime 050","Saturation Regime",0,5586.90794119936,"0"
"Saturation Regime 050","Saturation Regime",30,176367.665585638,"30"
"Saturation Regime 050","Saturation Regime",60,311597.103307274,"60"
"Saturation Regime 050","Saturation Regime",90,349029.867887291,"90"
"Saturation Regime 050","Saturation Regime",120,398741.823182394,"120"
"Saturation Regime 050","Saturation Regime",150,423607.658581122,"150"
"Saturation Regime 050","Saturation Regime",180,434067.997100223,"180"
"Saturation Regime 051","Saturation Regime",0,204,"0"
"Saturation Regime 051","Saturation Regime",30,8950.96762026778,"30"
"Saturation Regime 051","Saturation Regime",60,12189.0680590018,"60"
"Saturation Regime 051","Saturation Regime",90,16044.8475127142,"90"
"Saturation Regime 051","Saturation Regime",120,18173.3983522009,"120"
"Saturation Regime 051","Saturation Regime",150,18827.1648339814,"150"
"Saturation Regime 051","Saturation Regime",180,19562.7379746113,"180"
"Saturation Regime 052","Saturation Regime",0,9306.38873240187,"0"
"Saturation Regime 052","Saturation Regime",30,392151.188810939,"30"
"Saturation Regime 052","Saturation Regime",60,581232.795984403,"60"
"Saturation Regime 052","Saturation Regime",90,702561.482449814,"90"
"Saturation Regime 052","Saturation Regime",120,748724.305468888,"120"
"Saturation Regime 052","Saturation Regime",150,830017.864488023,"150"
"Saturation Regime 052","Saturation Regime",180,859412.755088875,"180"
"Saturation Regime 053","Saturation Regime",0,2434.75,"0"
"Saturation Regime 053","Saturation Regime",30,116656.99006403,"30"
"Saturation Regime 053","Saturation Regime",60,161494.150202123,"60"
"Saturation Regime 053","Saturation Regime",90,194329.014862668,"90"
"Saturation Regime 053","Saturation Regime",120,218907.543284261,"120"
"Saturation Regime 053","Saturation Regime",150,224266.31383261,"150"
"Saturation Regime 053","Saturation Regime",180,232476.795457253,"180"
"Saturation Regime 054","Saturation Regime",0,4954.85530038451,"0"
"Saturation Regime 054","Saturation Regime",30,234384.257303921,"30"
"Saturation Regime 054","Saturation Regime",60,299128.123744249,"60"
"Saturation Regime 054","Saturation Regime",90,390987.585319748,"90"
"Saturation Regime 054","Saturation Regime",120,437688.424917507,"120"
"Saturation Regime 054","Saturation Regime",150,460673.046411373,"150"
"Saturation Regime 054","Saturation Regime",180,470648.979892577,"180"
"Saturation Regime 055","Saturation Regime",0,9792.79,"0"
"Saturation Regime 055","Saturation Regime",30,431178.48705515,"30"
"Saturation Regime 055","Saturation Regime",60,676096.874121518,"60"
"Saturation Regime 055","Saturation Regime",90,725332.113989169,"90"
"Saturation Regime 055","Saturation Regime",120,879894.062495108,"120"
"Saturation Regime 055","Saturation Regime",150,896909.389862478,"150"
"Saturation Regime 055","Saturation Regime",180,940444.724512564,"180"
"Saturation Regime 056","Saturation Regime",0,4943.12,"0"
"Saturation Regime 056","Saturation Regime",30,193215.500539213,"30"
"Saturation Regime 056","Saturation Regime",60,325838.315194541,"60"
"Saturation Regime 056","Saturation Regime",90,398309.474524176,"90"
"Saturation Regime 056","Saturation Regime",120,441361.661795663,"120"
"Saturation Regime 056","Saturation Regime",150,448729.351795121,"150"
"Saturation Regime 056","Saturation Regime",180,468410.22491741,"180"
"Saturation Regime 057","Saturation Regime",0,6460.15104346137,"0"
"Saturation Regime 057","Saturation Regime",30,240533.587680242,"30"
"Saturation Regime 057","Saturation Regime",60,378996.183621624,"60"
"Saturation Regime 057","Saturation Regime",90,457063.665316031,"90"
"Saturation Regime 057","Saturation Regime",120,467555.472248642,"120"
"Saturation Regime 057","Saturation Regime",150,525215.035390326,"150"
"Saturation Regime 057","Saturation Regime",180,533740.70833356,"180"
"Saturation Regime 058","Saturation Regime",0,4978.36,"0"
"Saturation Regime 058","Saturation Regime",30,222084.184346043,"30"
"Saturation Regime 058","Saturation Regime",60,319474.060564436,"60"
"Saturation Regime 058","Saturation Regime",90,402118.6356756,"90"
"Saturation Regime 058","Saturation Regime",120,434372.715275772,"120"
"Saturation Regime 058","Saturation Regime",150,456698.834771369,"150"
"Saturation Regime 058","Saturation Regime",180,480385.118692038,"180"
"Saturation Regime 059","Saturation Regime",0,11774.6296595453,"0"
"Saturation Regime 059","Saturation Regime",30,390656.817702733,"30"
"Saturation Regime 059","Saturation Regime",60,648485.66352491,"60"
"Saturation Regime 059","Saturation Regime",90,790574.429878302,"90"
"Saturation Regime 059","Saturation Regime",120,819564.82562689,"120"
"Saturation Regime 059","Saturation Regime",150,857814.562841449,"150"
"Saturation Regime 059","Saturation Regime",180,896290.87811854,"180"
"Saturation Regime 060","Saturation Regime",0,8119.75501291577,"0"
"Saturation Regime 060","Saturation Regime",30,378532.177167369,"30"
"Saturation Regime 060","Saturation Regime",60,510189.358746705,"60"
"Saturation Regime 060","Saturation Regime",90,638588.118589529,"90"
"Saturation Regime 060","Saturation Regime",120,694928.3664331,"120"
"Saturation Regime 060","Saturation Regime",150,737299.869221996,"150"
"Saturation Regime 060","Saturation Regime",180,761917.677421292,"180"
"Saturation Regime 061","Saturation Regime",0,8426.57569122338,"0"
"Saturation Regime 061","Saturation Regime",30,337342.866865625,"30"
"Saturation Regime 061","Saturation Regime",60,521683.843618658,"60"
"Saturation Regime 061","Saturation Regime",90,595134.646648121,"90"
"Saturation Regime 061","Saturation Regime",120,689425.285463087,"120"
"Saturation Regime 061","Saturation Regime",150,704446.547381844,"150"
"Saturation Regime 061","Saturation Regime",180,729174.310182882,"180"
"Saturation Regime 062","Saturation Regime",0,5554.13608499813,"0"
"Saturation Regime 062","Saturation Regime",30,174559.34164608,"30"
"Saturation Regime 062","Saturation Regime",60,290669.051368067,"60"
"Saturation Regime 062","Saturation Regime",90,354942.002526315,"90"
"Saturation Regime 062","Saturation Regime",120,410756.452023905,"120"
"Saturation Regime 062","Saturation Regime",150,433238.16023817,"150"
"Saturation Regime 062","Saturation Regime",180,447151.528817251,"180"
"Saturation Regime 063","Saturation Regime",0,6405.29,"0"
"Saturation Regime 063","Saturation Regime",30,242241.145546172,"30"
